City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Alugan,92,PH,1545560191,100,12.22,125.48,76.45,4.63
Oume,90,CI,1545555600,94,6.38,-5.42,75.2,4.7
Hobart,75,AU,1545557400,45,-42.88,147.33,68,8.05
Labuhan,56,ID,1545560197,58,-2.54,115.51,85.9,4.79
Jamestown,68,SH,1545560163,100,-15.94,-5.72,70.51,15.3
New Norfolk,75,AU,1545557400,45,-42.78,147.06,68,8.05
Nieuw Amsterdam,40,SR,1545559200,88,5.88,-55.08,77,11.39
Hvide Sande,75,DK,1545558600,100,56.01,8.13,42.8,3.36
Channel-Port aux Basques,20,CA,1545560208,89,47.57,-59.14,40.9,19.1
Khatanga,80,RU,1545560210,72,71.98,102.47,-10.63,23.09
Bethel,90,US,1545558960,86,60.79,-161.76,6.98,12.75
Hermanus,64,ZA,1545560216,64,-34.42,19.24,77.76,3.56
Haines Junction,64,CA,1545560218,80,60.75,-137.51,-1.22,2.28
Cabinda,32,AO,1545560227,99,-5.56,12.19,79.11,2.1
Ushuaia,20,AR,1545559200,57,-54.81,-68.31,48.2,13.8
Tiksi,0,RU,1545560231,0,71.64,128.87,-44.06,3.29
Mar del Plata,0,AR,1545560166,58,-46.43,-67.52,58.23,16.42
Severo-Kurilsk,0,RU,1545560235,100,50.68,156.12,22.72,4.85
Vaini,75,TO,1545559200,88,-21.2,-175.2,80.6,6.93
Bluff,0,NZ,1545560240,100,-46.6,168.33,58.23,8.14
Atbasar,76,KZ,1545560242,83,51.81,68.36,3.15,4.63
Usinsk,48,RU,1545560244,85,66,57.56,3.1,13.85
Kinkala,40,CG,1545555600,83,-4.35,14.75,77,3.36
Georgetown,92,SH,1545560248,100,-7.93,-14.42,76.09,15.93
Kahului,1,US,1545558960,78,20.89,-156.47,75.02,11.41
Yulara,0,AU,1545559200,6,-25.24,130.99,91.4,9.17
Dikson,88,RU,1545560255,99,73.51,80.55,20.43,27.89
Mahanoro,56,MG,1545560257,75,-19.9,48.8,82.75,3.33
Margate,92,ZA,1545560259,100,-30.86,30.37,72.4,21.23
Carson City,75,US,1545558900,73,39.16,-119.77,35.96,6.58
